name,type,distance,moving_time,total_elevation_gain,start_date
Contemplating sectionals long run,Run,17711.3,7645,365.8,2023-08-15T00:41:09Z
Semis sectionals tennis,Workout,0.0,7172,0.0,2023-08-13T16:42:15Z
Evening Tennis,Workout,0.0,3751,0.0,2023-08-13T01:39:50Z
Evening Walk,Walk,78.2,95,0.0,2023-08-13T01:30:47Z
Sectionals singles afternoon ,Workout,0.0,4103,0.0,2023-08-11T21:57:27Z
Sectionals singles 3 sets ,Workout,0.0,6049,0.0,2023-08-11T16:37:49Z
Evening Ride,Ride,1580.6,418,43.6,2023-08-11T03:50:07Z
Lunch Walk,Walk,953.0,168,6.6,2023-08-10T19:06:51Z
Evening Tennis,Workout,0.0,5136,0.0,2023-08-10T02:35:32Z
Late to tennis run ,Run,1975.4,744,5.0,2023-08-10T02:18:12Z
Lunch Walk,Walk,952.6,673,2.8,2023-08-09T18:24:49Z
Morning Walk,Walk,1020.5,762,25.0,2023-08-09T17:18:53Z
Evening Ride,Ride,3655.8,920,11.6,2023-08-09T03:16:58Z
Afternoon Walk,Walk,1813.1,842,40.4,2023-08-09T00:44:48Z
Morning Ride,Ride,1774.9,409,20.6,2023-08-08T15:14:18Z
Evening Run pickup food ,Run,6051.7,2372,126.6,2023-08-08T02:13:35Z
Afternoon Walk,Walk,1693.0,1208,20.4,2023-08-07T23:10:13Z
Post-flight ride for food and caffeine ,Ride,2515.0,678,25.2,2023-08-07T21:28:56Z
Afternoon Walk,Walk,430.6,380,13.6,2023-08-07T21:19:38Z
Evening Walk,Walk,1276.7,392,2.2,2023-08-07T02:59:51Z
Evening Walk,Walk,1903.7,592,45.2,2023-08-07T01:24:43Z
Afternoon Ride,Ride,6563.7,1456,85.6,2023-08-06T21:09:42Z
Morning Tennis,Workout,0.0,12019,0.0,2023-08-06T17:38:37Z
Morning Ride,Ride,6070.9,1425,66.6,2023-08-06T16:58:13Z
Ride from outside LLMs rofl ,EBikeRide,3349.4,801,38.8,2023-08-06T04:19:10Z
Lunch Ride,EBikeRide,3317.9,670,8.2,2023-08-05T18:18:45Z
Night Ride,Ride,6535.5,1810,86.4,2023-08-05T05:50:02Z
Tennis to tennis party ride ,Ride,1148.8,289,14.8,2023-08-05T01:14:37Z
Afternoon Tennis,Workout,0.0,4008,0.0,2023-08-04T23:58:22Z
Afternoon Ride,Ride,5977.3,1467,68.0,2023-08-04T23:24:21Z
Afternoon Run,Run,973.3,371,4.2,2023-08-04T22:18:20Z
Evening Run,Run,2549.3,952,8.0,2023-08-04T01:21:40Z
Afternoon Walk,Walk,1646.7,600,54.2,2023-08-04T00:30:02Z
Afternoon Walk,Walk,1361.1,181,0.0,2023-08-03T20:08:34Z
Morning Walk,Walk,1948.9,1308,0.0,2023-08-03T16:35:29Z
Evening Tennis,Workout,0.0,6779,0.0,2023-08-03T01:24:45Z
Lunch Run,Run,8674.7,3112,78.4,2023-08-02T19:39:02Z
Night Ride,Ride,6549.5,1511,85.2,2023-08-02T04:07:31Z
Afternoon Ride,Ride,5964.6,1425,81.6,2023-08-02T00:15:45Z
Afternoon Walk,Walk,2286.9,1632,74.8,2023-08-01T22:15:41Z
Night Ride,Ride,6339.9,1520,85.4,2023-08-01T04:07:31Z
Late to tennis hit all the reds ride ,Ride,5828.8,1208,77.2,2023-07-31T22:37:54Z
Sunset beach run ,Run,12946.3,5246,138.2,2023-07-31T02:13:02Z
Taylor concert: watch thought I was walking,Walk,8915.3,6954,45.8,2023-07-30T03:36:21Z
Evening Weight Training,WeightTraining,0.0,951,0.0,2023-07-29T03:43:41Z
Evening Elliptical,Elliptical,0.0,1251,0.0,2023-07-29T03:22:20Z
Lunch Walk,Walk,1263.3,82,0.0,2023-07-28T18:48:54Z
Beach Run for work blog gif content ,Run,11050.1,4311,98.4,2023-07-28T02:10:05Z
Afternoon Walk,Walk,1847.4,1468,90.0,2023-07-28T00:50:07Z
Afternoon Walk,Walk,4604.7,4930,0.0,2023-07-27T21:23:44Z
Night Walk,Walk,812.9,666,6.8,2023-07-27T04:29:05Z
Evening Walk,Walk,2590.1,1772,12.0,2023-07-27T01:12:51Z
Craig and Lizzie hack night debrief ride,EBikeRide,2813.3,733,95.6,2023-07-26T05:14:05Z
Afternoon Ride to replit hack night ,EBikeRide,1848.5,415,3.8,2023-07-25T23:58:20Z
Morning Walk,Walk,2297.5,979,6.0,2023-07-24T17:30:18Z
Morning Walk,Walk,1969.8,610,70.0,2023-07-23T15:33:20Z
Alexi Pappas 10k shubhaaa,Run,9841.3,3170,15.4,2023-07-23T14:01:24Z
Morning Walk,Walk,1832.5,713,0.0,2023-07-23T13:33:13Z
Afternoon Ride,Ride,5526.6,1586,91.4,2023-07-23T00:29:51Z
Run to Sf race expo with Shubha! ,Run,3441.5,1271,19.6,2023-07-22T20:18:05Z
Morning Walk for yimby walk,Walk,5188.2,3834,48.0,2023-07-22T17:25:12Z
Lizzie and Martin rescue our cruise car night walk,Walk,1940.7,700,12.6,2023-07-22T05:55:41Z
